t	u	
0.007560	9.999998	
0.007570	9.999998	
0.007580	9.999998	
0.007590	9.999999	
0.007600	9.999999	
0.007610	9.999999	
0.007620	9.999999	
0.007630	9.999999	
0.007640	9.999999	
0.007650	9.999999	
0.007660	9.999999	
0.007670	9.999999	
0.007680	9.999999	
0.007690	9.999999	
0.007700	9.999999	
0.007710	9.999999	
0.007720	9.999999	
0.007730	9.999999	
0.007740	9.999999	
0.007750	9.999999	
0.007760	9.999999	
0.007770	9.999999	
0.007780	9.999999	
0.007790	9.999999	
0.007800	9.999999	
0.007810	9.999999	
0.007820	9.999999	
0.007830	9.999999	
0.007840	9.999999	
0.007850	9.999999	
0.007860	9.999999	
0.007870	9.999999	
0.007880	9.999999	
0.007890	9.999999	
0.007900	9.999999	
0.007910	9.999999	
0.007920	9.999999	
0.007930	9.999999	
0.007940	9.999999	
0.007950	9.999999	
0.007960	9.999999	
0.007970	9.999999	
0.007980	9.999999	
0.007990	9.999999	
0.008000	9.999999	
0.008010	9.999999	
0.008020	9.999999	
0.008030	9.999999	
0.008040	9.999999	
0.008050	9.999999	
0.008060	9.999999	
0.008070	9.999999	
0.008080	9.999999	
0.008090	9.999999	
0.008100	9.999999	
0.008110	9.999999	
0.008120	10.000000	
0.008130	10.000000	
0.008140	10.000000	
0.008150	10.000000	
0.008160	10.000000	
0.008170	10.000000	
0.008180	10.000000	
0.008190	10.000000	
0.008200	10.000000	
0.008210	10.000000	
0.008220	10.000000	
0.008230	10.000000	
0.008240	10.000000	
0.008250	10.000000	
0.008260	10.000000	
0.008270	10.000000	
0.008280	10.000000	
0.008290	10.000000	
0.008300	10.000000	
0.008310	10.000000	
0.008320	10.000000	
0.008330	10.000000	
0.008340	10.000000	
0.008350	10.000000	
0.008360	10.000000	
0.008370	10.000000	
0.008380	10.000000	
0.008390	10.000000	
0.008400	10.000000	
0.008410	10.000000	
0.008420	10.000000	
0.008430	10.000000	
0.008440	10.000000	
0.008450	10.000000	
0.008460	10.000000	
0.008470	10.000000	
0.008480	10.000000	
0.008490	10.000000	
0.008500	10.000000	
0.008510	10.000000	
0.008520	10.000000	
0.008530	10.000000	
0.008540	10.000000	
0.008550	10.000000	
0.008560	10.000000	
0.008570	10.000000	
0.008580	10.000000	
0.008590	10.000000	
0.008600	10.000000	
0.008610	10.000000	
0.008620	10.000000	
0.008630	10.000000	
0.008640	10.000000	
0.008650	10.000000	
0.008660	10.000000	
0.008670	10.000000	
0.008680	10.000000	
0.008690	10.000000	
0.008700	10.000000	
0.008710	10.000000	
0.008720	10.000000	
0.008730	10.000000	
0.008740	10.000000	
0.008750	10.000000	
0.008760	10.000000	
0.008770	10.000000	
0.008780	10.000000	
0.008790	10.000000	
0.008800	10.000000	
0.008810	10.000000	
0.008820	10.000000	
0.008830	10.000000	
0.008840	10.000000	
0.008850	10.000000	
0.008860	10.000000	
0.008870	10.000000	
0.008880	10.000000	
0.008890	10.000000	
0.008900	10.000000	
0.008910	10.000000	
0.008920	10.000000	
0.008930	10.000000	
0.008940	10.000000	
0.008950	10.000000	
0.008960	10.000000	
0.008970	10.000000	
0.008980	10.000000	
0.008990	10.000000	
0.009000	10.000000	
0.009010	10.000000	
0.009020	10.000000	
0.009030	10.000000	
0.009040	10.000000	
0.009050	10.000000	
0.009060	10.000000	
0.009070	10.000000	
0.009080	10.000000	
0.009090	10.000000	
0.009100	10.000000	
0.009110	10.000000	
0.009120	10.000000	
0.009130	10.000000	
0.009140	10.000000	
0.009150	10.000000	
0.009160	10.000000	
0.009170	10.000000	
0.009180	10.000000	
0.009190	10.000000	
0.009200	10.000000	
0.009210	10.000000	
0.009220	10.000000	
0.009230	10.000000	
0.009240	10.000000	
0.009250	10.000000	
0.009260	10.000000	
0.009270	10.000000	
0.009280	10.000000	
0.009290	10.000000	
0.009300	10.000000	
0.009310	10.000000	
0.009320	10.000000	
0.009330	10.000000	
0.009340	10.000000	
0.009350	10.000000	
0.009360	10.000000	
0.009370	10.000000	
0.009380	10.000000	
0.009390	10.000000	
0.009400	10.000000	
0.009410	10.000000	
0.009420	10.000000	
0.009430	10.000000	
0.009440	10.000000	
0.009450	10.000000	
0.009460	10.000000	
0.009470	10.000000	
0.009480	10.000000	
0.009490	10.000000	
0.009500	10.000000	
0.009510	10.000000	
0.009520	10.000000	
0.009530	10.000000	
0.009540	10.000000	
0.009550	10.000000	
0.009560	10.000000	
0.009570	10.000000	
0.009580	10.000000	
0.009590	10.000000	
0.009600	10.000000	
0.009610	10.000000	
0.009620	10.000000	
0.009630	10.000000	
0.009640	10.000000	
0.009650	10.000000	
0.009660	10.000000	
0.009670	10.000000	
0.009680	10.000000	
0.009690	10.000000	
0.009700	10.000000	
0.009710	10.000000	
0.009720	10.000000	
0.009730	10.000000	
0.009740	10.000000	
0.009750	10.000000	
0.009760	10.000000	
0.009770	10.000000	
0.009780	10.000000	
0.009790	10.000000	
0.009800	10.000000	
0.009810	10.000000	
0.009820	10.000000	
0.009830	10.000000	
0.009840	10.000000	
0.009850	10.000000	
0.009860	10.000000	
0.009870	10.000000	
0.009880	10.000000	
0.009890	10.000000	
0.009900	10.000000	
0.009910	10.000000	
0.009920	10.000000	
0.009930	10.000000	
0.009940	10.000000	
0.009950	10.000000	
0.009960	10.000000	
0.009970	10.000000	
0.009980	10.000000	
0.009990	10.000000	
