  t                         w                         alpha
  0.11700000000000001        4.7239430472608470       0.74558248874446342     
  0.11800000000000001        4.7306803766374292       0.75452075900925508     
  0.11900000000000001        4.7372532784663299       0.76347157104706798     
  0.12000000000000000        4.7436657634667538       0.77243461893878618     
  0.12100000000000000        4.7499217445537232       0.78140960422534622     
  0.12200000000000000        4.7560250392228189       0.79039623572583695     
  0.12300000000000000        4.7619793718768095       0.79939422936003668     
  0.12400000000000000        4.7677883760955266       0.80840330797527771     
  0.12500000000000000        4.7734555968504164       0.81742320117753031     
  0.12600000000000000        4.7789844926650744       0.82645364516660680     
  0.12700000000000000        4.7843784377231211       0.83549438257538278     
  0.12800000000000000        4.7896407239246743       0.84454516231293908     
  0.12900000000000000        4.7947745628926768       0.85360573941152829     
  0.13000000000000000        4.7997830879303214       0.86267587487727149     
  0.13100000000000001        4.8046693559307254       0.87175533554449658     
  0.13200000000000001        4.8094363492400678       0.88084389393362772     
  0.13300000000000001        4.8140869774752844       0.88994132811253845     
  0.13400000000000001        4.8186240792974449       0.89904742156128925     
  0.13500000000000001        4.8230504241418988       0.90816196304015684     
  0.13600000000000001        4.8273687139062380       0.91728474646088731     
  0.13700000000000001        4.8315815845970809       0.92641557076108427     
  0.13800000000000001        4.8356916079367398       0.93555423978166119     
  0.13900000000000001        4.8397012929306884       0.94470056214728271     
  0.14000000000000001        4.8436130873968173       0.95385435114971917     
  0.14100000000000001        4.8474293794574059       0.96301542463404466     
  0.14200000000000002        4.8511524989947201       0.97218360488761502     
  0.14300000000000002        4.8547880480523711       0.98135846461244625     
  0.14400000000000002        4.8583344685035819       0.99054012265524416     
  0.14499999999999999        4.8617939549398432       0.99972841162271819     
  0.14599999999999999        4.8651686476898091        1.0089231682604951     
  0.14699999999999999        4.8684606341631262        1.0181242333506193     
  0.14799999999999999        4.8716719501609553        1.0273314516115921     
  0.14899999999999999        4.8748045811538869        1.0365446716008975     
  0.14999999999999999        4.8778604635284575        1.0457637456199245     
  0.15100000000000000        4.8808414858025442        1.0549885296212624     
  0.15200000000000000        4.8837494898107829        1.0642188831182813     
  0.15300000000000000        4.8865862718606037        1.0734546690969566     
  0.15400000000000000        4.8893535838594921        1.0826957539298865     
  0.15500000000000000        4.8920531344145948        1.0919420072924180     
  0.15600000000000000        4.8946865899048477        1.1011933020808713     
  0.15700000000000000        4.8972555755265885        1.1104495143327848     
  0.15800000000000000        4.8997616763134140        1.1197105231491256     
  0.15900000000000000        4.9022064381305617        1.1289762106184404     
  0.16000000000000000        4.9045913686448648        1.1382464617428754     
  0.16100000000000000        4.9069179382704702        1.1475211643660381     
  0.16200000000000001        4.9091875810913095        1.1568002091026379     
  0.16300000000000001        4.9114016957606168        1.1660834892698737     
  0.16400000000000001        4.9135616463782394        1.1753709008205164     
  0.16500000000000001        4.9156687633461562        1.1846623422776548     
  0.16600000000000001        4.9177243442027994        1.1939577146710569     
  0.16700000000000001        4.9197296544368134        1.2032569214751014     
  0.16800000000000001        4.9216859282804482        1.2125598685482584     
  0.16900000000000001        4.9235943694836006        1.2218664640740529     
  0.17000000000000001        4.9254561520684126        1.2311766185035038     
  0.17100000000000001        4.9272724210652799        1.2404902444989874     
  0.17200000000000001        4.9290456615010472        1.2498071525141474     
  0.17300000000000001        4.9307755788742380        1.2591273650121935     
  0.17400000000000002        4.9324632304696188        1.2684508013483331     
  0.17500000000000002        4.9341096477834654        1.2777773828448002     
  0.17599999999999999        4.9357158371524674        1.2871070327428855     
  0.17699999999999999        4.9372827803671706        1.2964396761561459     
  0.17799999999999999        4.9388114352706349        1.3057752400247418     
  0.17899999999999999        4.9403027363423542        1.3151136530708978     
  0.17999999999999999        4.9417575952680135        1.3244548457554468     
  0.18099999999999999        4.9431769014953675        1.3337987502354263     
  0.18200000000000000        4.9445615227764046        1.3431453003227263     
  0.18300000000000000        4.9459123056966110        1.3524944314437217     
  0.18400000000000000        4.9472300761909827        1.3618460805999093     
  0.18500000000000000        4.9485156400476713        1.3712001863294956     
  0.18600000000000000        4.9497697833992573        1.3805566886699221     
  0.18700000000000000        4.9509932732021529        1.3899155291213001     
  0.18800000000000000        4.9521868577041603        1.3992766506107472     
  0.18900000000000000        4.9533512669007331        1.4086399974575858     
  0.19000000000000000        4.9544872129800499        1.4180055153393945     
  0.19100000000000000        4.9555953907573258        1.4273731512588819     
  0.19200000000000000        4.9566764780985189        1.4367428535115672     
  0.19300000000000000        4.9577311363335506        1.4461145716542616     
  0.19400000000000001        4.9587600106596632        1.4554882564743030     
  0.19500000000000001        4.9597637305347835        1.4648638599595520     
  0.19600000000000001        4.9607429100614260        1.4742413352691075     
  0.19700000000000001        4.9616981483611164        1.4836206367047504     
  0.19800000000000001        4.9626300299397279        1.4930017196830749     
  0.19900000000000001        4.9635391250440088        1.5023845407082965     
  0.20000000000000001        4.9644259900092083        1.5117690573457347     
  0.20100000000000001        4.9652911675983775        1.5211552281959340     
  0.20200000000000001        4.9661351873333821        1.5305430128694142     
  0.20300000000000001        4.9669585658179054        1.5399323719620355     
  0.20400000000000001        4.9677618070523053        1.5493232670309816     
  0.20500000000000002        4.9685454027411682        1.5587156605713000     
  0.20600000000000002        4.9693098325930656        1.5681095159930387     
  0.20700000000000002        4.9700555646131619        1.5775047975989280     
  0.20800000000000002        4.9707830553885906        1.5869014705626123     
  0.20899999999999999        4.9714927503670268        1.5962995009074035     
  0.20999999999999999        4.9721850841282418        1.6056988554855658     
  0.21099999999999999        4.9728604806492527        1.6150995019580927     
  0.21199999999999999        4.9735193535628444        1.6245014087749881     
  0.21299999999999999        4.9741621064098593        1.6339045451560221     
  0.21400000000000000        4.9747891328853937        1.6433088810719541     
  0.21500000000000000        4.9754008170788726        1.6527143872262182     
  0.21600000000000000        4.9759975337082683        1.6621210350370605     
  0.21700000000000000        4.9765796483487694        1.6715287966200956     
  0.21800000000000000        4.9771475176557400        1.6809376447713016     
  0.21900000000000000        4.9777014895823060        1.6903475529504233     
  0.22000000000000000        4.9782419035914458        1.6997584952647942     
  0.22100000000000000        4.9787690908631204        1.7091704464535382     
  0.22200000000000000        4.9792833744965179        1.7185833818721437     
  0.22300000000000000        4.9797850697069439        1.7279972774774439     
  0.22400000000000000        4.9802744840180182        1.7374121098129596     
  0.22500000000000001        4.9807519174494148        1.7468278559945771     
  0.22600000000000001        4.9812176626999713        1.7562444936965831     
  0.22700000000000001        4.9816720053260468        1.7656620011380584     
  0.22800000000000001        4.9821152675343292        1.7750803537425672     
  0.22900000000000001        4.9825478094559239        1.7844995240409736     
  0.23000000000000001        4.9829698903606836        1.7939194922573725     
  0.23100000000000001        4.9833817632480324        1.8033402390941371     
  0.23200000000000001        4.9837836749986062        1.8127617457203544     
  0.23300000000000001        4.9841758665222420        1.8221839937605360     
  0.23400000000000001        4.9845585729023796        1.8316069652836038     
  0.23500000000000001        4.9849320235369721        1.8410306427921439     
  0.23600000000000002        4.9852964422759909        1.8504550092119139     
  0.23700000000000002        4.9856520475556030        1.8598800478816138     
  0.23800000000000002        4.9859990525290998        1.8693057425428965     
  0.23900000000000002        4.9863376651946716        1.8787320773306222     
  0.23999999999999999        4.9866680885200729        1.8881590367633472     
  0.24099999999999999        4.9869905205642961        1.8975866057340496     
