  t                          alpha1                    alpha2                    alpha3                    alpha4                    alpha5
  0.18099999999999999        1.2762490855671598        1.1718481661729212        1.0674472743191017       0.96304639253676105       0.85864553038844060     
  0.18200000000000000        1.2856085051431969        1.1804877524252582        1.0753670266940492       0.97024631068183931       0.86512561385557496     
  0.18300000000000000        1.2949703846318199        1.1891296529753119        1.0832889477661125       0.97744825193229101       0.87160757484762619     
  0.18400000000000000        1.3043346588300793        1.1977738064802288        1.0912129800521599       0.98465216266447919       0.87809136360016060     
  0.18500000000000000        1.3137012642626849        1.2064201532225278        1.0991390675921573       0.99185799067559421       0.88457693166731088     
  0.18600000000000000        1.3230701391362372        1.2150686350670425        1.1070671559088194       0.99906568514601557       0.89106423188684591     
  0.18700000000000000        1.3324412232946692        1.2237191954190036        1.1149971919683299        1.0062751966026691       0.89755321834616486     
  0.18800000000000000        1.3418144581758733        1.2323717791832312        1.1229291241421009        1.0134864768833547       0.90404384634919410     
  0.18900000000000000        1.3511897867694747        1.2410263327244078        1.1308629021695484        1.0206994791020207       0.91053607238415957     
  0.19000000000000000        1.3605671535757220        1.2496828038284060        1.1387984771218500        1.0279141576149562       0.91702985409221383     
  0.19100000000000000        1.3699465045654702        1.2583411416646375        1.1467358013666658        1.0351304679878797       0.92352515023689108     
  0.19200000000000000        1.3793277175683656        1.2670012967494007        1.1546748285337900        1.0423483669638978       0.93002192067437572     
  0.19300000000000000        1.3887108209646544        1.2756631591442931        1.1626155134817184        1.0495678124323167       0.93652012632455561     
  0.19400000000000001        1.3980957641560094        1.2843267527532400        1.1705577571060310        1.0567887633982762       0.94301972914284238     
  0.19500000000000001        1.4074824979044844        1.2929920312404044        1.1785015799438676        1.0640111302680415       0.94952069209273859     
  0.19600000000000001        1.4168709742958627        1.3016589495157029        1.1864469397288488        1.0712349312566298       0.95602293382561254     
  0.19700000000000001        1.4262611467039925        1.3103274637012434        1.1943937953309240        1.0784601279814330       0.96252647123121737     
  0.19800000000000001        1.4356529697560838        1.3189975310986659        1.2023421067257554        1.0856866830917520       0.96903126963195285     
  0.19900000000000001        1.4450463992989457        1.3276691101573670        1.2102918349649310        1.0929145602409902       0.97553729528251965     
  0.20000000000000001        1.4544413923661270        1.3363421604435759        1.2182429421469778        1.1001437240596068       0.98204451534480097     
  0.20100000000000001        1.4638379071459524        1.3450166426102719        1.2261953913891561        1.1073741401287902       0.98855289786342326     
  0.20200000000000001        1.4732359029504101        1.3536925183679061        1.2341491468000176        1.1146057749548495       0.99506241174197363     
  0.20300000000000001        1.4826353401848855        1.3623697504559176        1.2421041734527016        1.1218385959442905        1.0015730267198606     
  0.20400000000000001        1.4920361803187121        1.3710483026150158        1.2500604373589530        1.1290725713795680        1.0080847133497999     
