  t                         w                         U                         I                         alpha
  0.17899999999999999        4.9473553701607305        4.9999999999993490       7.73717516723471249E-002   1.2575378958862764     
  0.17999999999999999        4.9487513581107070        4.9999999999994476       7.53200697948381431E-002   1.2668921928813255     
  0.18099999999999999        4.9501103202516337        4.9999999999995310       7.33228047060802274E-002   1.2762490855671598     
  0.18200000000000000        4.9514332379782138        4.9999999999996012       7.13785140514173050E-002   1.2856085051431969     
  0.18300000000000000        4.9527210666817947        4.9999999999996616       6.94857936932974790E-002   1.2949703846318199     
  0.18400000000000000        4.9539747364392213        4.9999999999997131       6.76432766988599166E-002   1.3043346588300793     
  0.18500000000000000        4.9551951526834497        4.9999999999997566       6.58496323543399514E-002   1.3137012642626849     
  0.18600000000000000        4.9563831968563932        4.9999999999997939       6.41035652055804428E-002   1.3230701391362372     
  0.18700000000000000        4.9575397270444750        4.9999999999998241       6.24038141239567912E-002   1.3324412232946692     
  0.18800000000000000        4.9586655785973539        4.9999999999998508       6.07491513970436908E-002   1.3418144581758733     
  0.18900000000000000        4.9597615647302566        4.9999999999998730       5.91383818433668662E-002   1.3511897867694747     
  0.19000000000000000        4.9608284771103488        4.9999999999998916       5.75703419506040648E-002   1.3605671535757220     
  0.19100000000000000        4.9618670864275920        4.9999999999999085       5.60438990366137618E-002   1.3699465045654702     
  0.19200000000000000        4.9628791353611206        4.9999999999999218       5.45564918878870334E-002   1.3793277175683656     
  0.19300000000000000        4.9638642190855329        4.9999999999999343       5.31087154758407148E-002   1.3887108209646544     
  0.19400000000000001        4.9648230593524385        4.9999999999999449       5.16995090429815188E-002   1.3980957641560094     
  0.19500000000000001        4.9657563585085072        4.9999999999999529       5.03278403512174219E-002   1.4074824979044844     
  0.19600000000000001        4.9666648000182958        4.9999999999999609       4.89927049134918843E-002   1.4168709742958627     
  0.19700000000000001        4.9675490489729670        4.9999999999999662       4.76931252460499819E-002   1.4262611467039925     
  0.19800000000000001        4.9684097525852930        4.9999999999999725       4.64281501410917161E-002   1.4356529697560838     
  0.19900000000000001        4.9692475406712964        4.9999999999999778       4.51968539586924747E-002   1.4450463992989457     
  0.20000000000000001        4.9700630261189138        4.9999999999999813       4.39983359381585643E-002   1.4544413923661270     
  0.20100000000000001        4.9708568053440123        4.9999999999999840       4.28317195277960680E-002   1.4638379071459524     
  0.20200000000000001        4.9716294587341130        4.9999999999999876       4.16961517327264150E-002   1.4732359029504101     
  0.20300000000000001        4.9723815510801437        4.9999999999999893       4.05908024803754777E-002   1.4826353401848855     
  0.20400000000000001        4.9731136319965428        4.9999999999999911       3.95148640030509798E-002   1.4920361803187121     
  0.20500000000000002        4.9738262363300558        4.9999999999999929       3.84675502370932232E-002   1.5014383858565097     
  0.20600000000000002        4.9745198845574921        4.9999999999999947       3.74480962383437269E-002   1.5108419203103021     
  0.20700000000000002        4.9751950831727481        4.9999999999999956       3.64557576133017758E-002   1.5202467481723827     
  0.20800000000000002        4.9758523250634195        4.9999999999999964       3.54898099656520277E-002   1.5296528348889142     
  0.20899999999999999        4.9764920898772491        4.9999999999999973       3.45495483576355455E-002   1.5390601468342375     
  0.20999999999999999        4.9771148443786810        4.9999999999999973       3.36342867861266978E-002   1.5484686512858770     
  0.21099999999999999        4.9777210427958245        4.9999999999999973       3.27433576725626660E-002   1.5578783164002139     
  0.21199999999999999        4.9783111271580509        4.9999999999999973       3.18761113669032148E-002   1.5672891111888223     
  0.21299999999999999        4.9788855276244908        4.9999999999999973       3.10319156647601777E-002   1.5767010054954369     
  0.21400000000000000        4.9794446628036839        4.9999999999999973       3.02101553376542507E-002   1.5861139699735467     
  0.21500000000000000        4.9799889400645974        4.9999999999999973       2.94102316758859637E-002   1.5955279760645893     
  0.21600000000000000        4.9805187558392809        4.9999999999999973       2.86315620437251200E-002   1.6049429959767341     
  0.21700000000000000        4.9810344959173438        4.9999999999999973       2.78735794466343501E-002   1.6143590026642378     
  0.21800000000000000        4.9815365357325092        4.9999999999999973       2.71357321101053199E-002   1.6237759698073548     
  0.21900000000000000        4.9820256439739685        4.9999999999999973       2.64168902925149100E-002   1.6331938435172040     
  0.22000000000000000        4.9825017680596497        4.9999999999999973       2.57171312736705834E-002   1.6426126274800454     
  0.22100000000000000        4.9829652523090342        4.9999999999999973       2.50359490076405566E-002   1.6520322975573958     
