  t                         alpha1                        alpha2                        alpha3                        alpha4                        alpha5
  0.11900000000000001        1.0992750936759601        1.0369084620290101       0.75760973775210216       0.57911013259083421       0.46496956618186125     
  0.12000000000000000        1.1162738177142704        1.0501755888728213       0.76657280294939112       0.58575084834264068       0.47022348077018966     
  0.12100000000000000        1.1333770630242119        1.0634752558941174       0.77554792746026535       0.59239812945050019       0.47548180100801823     
  0.12200000000000000        1.1505843049621098        1.0768068713173733       0.78453481391372426       0.59905179135330644       0.48074439511997497     
  0.12300000000000000        1.1678950215164381        1.0901698958650716       0.79353317227147013       0.60571165467813193       0.48601113527211043     
  0.12400000000000000        1.1853086932946009        1.1035637789380832       0.80254271964710466       0.61237754509438980       0.49128189745401252     
  0.12500000000000000        1.2028248028498505        1.1169879795886279       0.81156318012978323       0.61904929317209278       0.49655656136921467     
  0.12600000000000000        1.2204428246213410        1.1304419663511274       0.82059428461221706       0.62572673424409764       0.50183501021981891     
  0.12700000000000000        1.2381622468612818        1.1439252170760184       0.82963577062291594       0.63240970827222176       0.50711713069473929     
  0.12800000000000000        1.2559825603901302        1.1574372187664776       0.83868738216256644       0.63909805971712275       0.51240281288057354     
  0.12900000000000000        1.2739032585837196        1.1709774674180091       0.84774886954444573       0.64579163740771428       0.51769195015958203     
  0.13000000000000000        1.2919238373604458        1.1845454678608418       0.85681998923876768       0.65249029429988237       0.52298443911073611     
  0.13100000000000001        1.3100437951685255        1.1981407336050873       0.86590050372086791       0.65919388748851071       0.52828017941374139     
  0.13200000000000001        1.3282626329733083        1.2117627866886076       0.87499018132313267       0.66590227809537594       0.53357927243961023     
  0.13300000000000001        1.3465798542446668        1.2254111575275570       0.88408879609057633       0.67261533115552274       0.53888140899250347     
  0.13400000000000001        1.3649949649444375        1.2390853847695302       0.89319612763998280       0.67933291550684916       0.54418649842985634     
  0.13500000000000001        1.3835074735139263        1.2527850151492950       0.90231196102251610       0.68605490368281241       0.54949445280788489     
  0.13600000000000001        1.4021168908477577        1.2665096033470464       0.91143608658971997       0.69278144369093808       0.55480518680124780     
  0.13700000000000001        1.4208227301013057        1.2802587118491440       0.92056829986375022       0.69951212252560391       0.56011861762509785     
  0.13800000000000001        1.4396245068545601        1.2940319108112950       0.92970840125946952       0.70624682431070329       0.56543466495945460     
  0.13900000000000001        1.4585217391251331        1.3078287779241253       0.93885619610976490       0.71298543641349554       0.57075325087582751     
  0.14000000000000001        1.4775139473559862        1.3216488982811165       0.94801149455849720       0.71972784935383893       0.57607429976602187     
  0.14100000000000001        1.4966006544032211        1.3354918642488498       0.95717411144144982       0.72647395671596549       0.58139773827306662     
  0.14200000000000002        1.5157813855239410        1.3493572753395244       0.96634386617022039       0.73322365506272336       0.58672349522419598     
  0.14300000000000002        1.5350556683641541        1.3632447380857153       0.97552058261899677       0.73997684385221740       0.59205150156582620     
  0.14400000000000002        1.5544230329467550        1.3771538659173150       0.98470408901413808       0.74673342535678566       0.59738169030046839     
  0.14499999999999999        1.5738830116595575        1.3910842790406441       0.99389464120414739       0.75349330458423946       0.60271399642551837     
  0.14599999999999999        1.5934351392433967        1.4050356043196721        1.0030916239812508       0.76025638920130978       0.60804835687386971     
  0.14699999999999999        1.6130789527802754        1.4190074751593205        1.0122948793434927       0.76702258945923429       0.61338471045629206     
  0.14799999999999999        1.6328139916815871        1.4329995313908130        1.0215042531701324       0.77379181812142772       0.61872299780552809     
  0.14899999999999999        1.6526397976763862        1.4470114191590344        1.0307195951263208       0.78056399039317470       0.62406316132205164     
  0.14999999999999999        1.6725559147997238        1.4610427908118633        1.0399407585701170       0.78733902385329091       0.62940514512144086     
  0.15100000000000000        1.6925618893810421        1.4750933047914421        1.0491676004617911       0.79411683838769764       0.63474889498331988     
  0.15200000000000000        1.7126572700326230        1.4891626255273576        1.0583999812753502       0.80089735612485247       0.64009435830181693     
  0.15300000000000000        1.7328416076381012        1.5032504233316859        1.0676377649122406       0.80768050137298908       0.64544148403750101     
  0.15400000000000000        1.7531143950209020        1.5173563742958862        1.0768808186171679       0.81446620055911090       0.65079022267074582     
  0.15500000000000000        1.7734752471518787        1.5314801601894914        1.0861290128959826       0.82125438216969493       0.65614052615648377     
  0.15600000000000000        1.7939237218406356        1.5456214683605811        1.0953822214355853       0.82804497669305244       0.66149234788030642     
  0.15700000000000000        1.8144593791157937        1.5597799916516129        1.1046403210257956       0.83483791656330331       0.66684564261587176     
  0.15800000000000000        1.8350817812138729        1.5739554281899293        1.1139031914831432       0.84163313610591828       0.67220036648357928     
  0.15900000000000000        1.8557904925682196        1.5881474812854277        1.1231707155765269       0.84843057148478440       0.67755647691047449     
  0.16000000000000000        1.8765850797979964        1.6023558594591010        1.1324427789547009       0.85523016065075375       0.68291393259134914     
  0.16100000000000000        1.8974651116972234        1.6165802763513784        1.1417192700755423       0.86203184329162941       0.68827269345099595     
  0.16200000000000001        1.9184301592238775        1.6308204506320829        1.1510000801370550       0.86883556078355217       0.69363272060759029     
  0.16300000000000001        1.9394797954890413        1.6450761059119772        1.1602851030100680       0.87564125614374866       0.69899397633716032     
  0.16400000000000001        1.9606135957461117        1.6593469706558646        1.1695742351725869       0.88244887398459948       0.70435642403911403     
  0.16500000000000001        1.9818311373800581        1.6736327780972247        1.1788673756457559       0.88925836046899442       0.70972002820279456     
  0.16600000000000001        2.0031319998967430        1.6879332661543553        1.1881644259313944       0.89606966326693649       0.71508475437502916     
  0.16700000000000001        2.0245157649122811        1.7022481773479849        1.1974652899510685       0.90288273151336029       0.72045056912864502     
  0.16800000000000001        2.0459820161424660        1.7165772587203443        1.2067698739866546       0.90969751576713109       0.72581744003192306     
  0.16900000000000001        2.0675303393922411        1.7309211542871556        1.2160780866223670       0.91651396797119145       0.73118533561895882     
  0.17000000000000001        2.0891603225452293        1.7452786839782635        1.2253898386882063       0.92333204141382164       0.73655422536090820     
  0.17100000000000001        2.1108715555533077        1.7596496094213951        1.2347050432048001       0.93015169069098591       0.74192404756047459     
  0.17200000000000001        2.1326636304262432        1.7740336964109464        1.2440236153295929       0.93697287166973198       0.74729481093820871     
  0.17300000000000001        2.1545361412213735        1.7884307148351630        1.2533454723043631       0.94379554145261502       0.75266648715160911     
  0.17400000000000002        2.1764886840333397        1.8028404386045946        1.2626705334040251       0.95061965834311601       0.75803904871598349     
  0.17500000000000002        2.1985208569838792        1.8172626455818015        1.2719987198866909       0.95744518181202920       0.76341246897842352     
  0.17599999999999999        2.2206322602116559        1.8316971175122818        1.2813299549449562       0.96427207246478996       0.76878672209257293     
  0.17699999999999999        2.2428224958621534        1.8461436399566167        1.2906641636583864       0.97110024469339584       0.77416178299416227     
  0.17799999999999999        2.2650911680776105        1.8606020022237901        1.3000012729471644       0.97792971581296351       0.77953762737728272     
  0.17899999999999999        2.2874378829870103        1.8750719973056820        1.3093412115268812       0.98476044907250226       0.78491423167138641     
  0.17999999999999999        2.3098622486961244        1.8895534218127019        1.3186839098644350       0.99159240876576504       0.79029157301897957     
  0.18099999999999999        2.3323638752775979        1.9040460759105482        1.3280293001350125       0.99842556020148321       0.79566962925399731     
  0.18200000000000000        2.3549423747610865        1.9185497632580719        1.3373773161801288        1.0052598696744508       0.80104837888083169     
  0.18300000000000000        2.3775973611234504        1.9330642909462290        1.3467278934666964        1.0120953044374326       0.80642780105399992     
  0.18400000000000000        2.4003284502789892        1.9475894694380924        1.3560809690470998        1.0189318326738734       0.81180787555842593     
  0.18500000000000000        2.4231352600697260        1.9621251125099235        1.3654364815202513        1.0257694234713874       0.81718858279032391     
  0.18600000000000000        2.4460174102557448        1.9766710371932608        1.3747943709936021        1.0326080467959999       0.82256990373866168     
  0.18700000000000000        2.4689745225055741        1.9912270637180300        1.3841545790460863        1.0394476734671287       0.82795181996718448     
  0.18800000000000000        2.4920062203866156        2.0057930154566432        1.3935170486919768        1.0462882751332736       0.83333431359698806     
  0.18900000000000000        2.5151121293556260        2.0203687188690753        1.4028817243456269        1.0531298242484031       0.83871736728961688     
  0.19000000000000000        2.5382918767492431        2.0349540034489055        1.4122485517870800        1.0599722940490131       0.84410096423067849     
  0.19100000000000000        2.5615450917745619        2.0495487016702914        1.4216174781285216        1.0668156585318400       0.84948508811395451     
  0.19200000000000000        2.5848714054997535        2.0641526489358806        1.4309883821995031        1.0736598924322063       0.85486972312599196     
  0.19300000000000000        2.6082704508447354        2.0787656835256243        1.4403612928726168        1.0805049712029899       0.86025485393116585     
  0.19400000000000001        2.6317418625718871        2.0933876465464905        1.4497361603852421        1.0873508709941864       0.86564045144226753     
  0.19500000000000001        2.6552852772768127        2.1080183818830531        1.4591129362140609        1.0941975686330589       0.87102651561639588     
  0.19600000000000001        2.6789003333791443        2.1226577361489456        1.4684915730441315        1.1010450416048503       0.87641303254417180     
  0.19700000000000001        2.7025866711134023        2.1373055586391621        1.4778720247387354        1.1078932680340474       0.88179998873053178     
  0.19800000000000001        2.7263439325198915        2.1519617012831933        1.4872542463099745        1.1147422266661786       0.88718737108239121     
  0.19900000000000001        2.7501717614356482        2.1666260185989805        1.4966381938901085        1.1215918968501313       0.89257516689667338     
  0.20000000000000001        2.7740698034854305        2.1812983676476758        1.5060238247036020        1.1284422585209704       0.89796336384869624     
  0.20100000000000001        2.7980377060727548        2.1959786079891894        1.5154110970398726        1.1352932921832497       0.90335194998090507     
  0.20200000000000001        2.8220751183709747        2.2106666016385157        1.5247999702267214        1.1421449788947975       0.90874091369193899     
  0.20300000000000001        2.8461816913144076        2.2253622130228243        1.5341904046044248        1.1489972806382092       0.91413024372602558     
  0.20400000000000001        2.8703570775895053        2.2400653089392990        1.5435823615004738        1.1558501994493768       0.91951992916268876     
  0.20500000000000002        2.8946009316260701        2.2547757585137123        1.5529758032049457        1.1627037180385829       0.92490995940676479     
  0.20600000000000002        2.9189129095885082        2.2694934331597283        1.5623706929464882        1.1695578196002545       0.93030032417871389     
  0.20700000000000002        2.9432926693671346        2.2842182065389087        1.5717669948689055        1.1764124877994084       0.93569101350522255     
