  t                         alpha1                        alpha2                        alpha3                        alpha4                        alpha5
  7.20000000000000084E-002  7.54350474489102335E-002  0.27269734656156530       0.25022115411178258       0.20953805900506131       0.17639033068422577     
  7.29999999999999954E-002  7.87042787451770198E-002  0.28038516041301315       0.25667931696706958       0.21474335960865037       0.18068761609376885     
  7.39999999999999963E-002  8.20311967111714835E-002  0.28814169327783279       0.26317854294107512       0.21997635409077365       0.18500563621213884     
  7.49999999999999972E-002  8.54155080367999114E-002  0.29596567691747211       0.26971773986771985       0.22523619171240877       0.18934370912869497     
  7.59999999999999981E-002  8.88569208573058433E-002  0.30385586643302970       0.27629584397703899       0.23052204817241190       0.19370117532263820     
  7.69999999999999990E-002  9.23551447532617309E-002  0.31181103984568753       0.28291182125492059       0.23583312822522323       0.19807739693378296     
  7.79999999999999999E-002  9.59098907494274205E-002  0.31982999768316017       0.28956466418374854       0.24116865351737030       0.20247175705617732     
  7.90000000000000008E-002  9.95208713126563005E-002  0.32791156257232051       0.29625339201563616       0.24652787340569859       0.20688365905395442     
  8.00000000000000017E-002  0.10318780034899862       0.33605457883810358       0.30297705006709519       0.25191006027546592       0.21131252587200744     
  8.10000000000000026E-002  0.10691039320013530       0.34425791071822859       0.30973470903160205       0.25731450883752094       0.21575779897195252     
  8.20000000000000034E-002  0.11068836387071257       0.35252044680078437       0.31652546387102215       0.26274053488662036       0.22021893867883099     
  8.30000000000000043E-002  0.11452143391744536       0.36084109404398829       0.32334843449174100       0.26818747567404383       0.22469542078463542     
  8.40000000000000052E-002  0.11840932291462523       0.36921877957057264       0.33020276380424057       0.27365468554541372       0.22918674371679576     
  8.50000000000000061E-002  0.12235175185361283       0.37765245029903211       0.33708761647496022       0.27914154657794304       0.23369241912410416     
  8.60000000000000070E-002  0.12634844313733548       0.38614107258129809       0.34400218017015777       0.28464745510460682       0.23821197472368355     
  8.70000000000000079E-002  0.13039912057456871       0.39468363184680338       0.35094566440332020       0.29017182600204772       0.24274495377363489     
  8.79999999999999949E-002  0.13450350937404096       0.40327913128410797       0.35791729888245416       0.29571409212231009       0.24729091456283167     
  8.89999999999999958E-002  0.13866133613839526       0.41192659441534901       0.36491633593583900       0.30127370374184204       0.25184942991740794     
  8.99999999999999967E-002  0.14287232885803799       0.42062506188915294       0.37194204631530897       0.30685012802728279       0.25642008672334698     
  9.09999999999999976E-002  0.14713621690489967       0.42937359205947417       0.37899372018355104       0.31244284851757526       0.26100248430186451     
  9.19999999999999984E-002  0.15145273102612841       0.43817126065970585       0.38607066659841244       0.31805136309781329       0.26559623748406802     
  9.29999999999999993E-002  0.15582160333773495       0.44701716048265711       0.39317221301086752       0.32367518806760154       0.27020097268374488     
  9.40000000000000002E-002  0.16024256731820499       0.45591040106632119       0.40029770477627841       0.32931385321384066       0.27481632860367317     
  9.50000000000000011E-002  0.16471535645290838       0.46485010838533947       0.40744650232040214       0.33496690276292712       0.27944195583168241     
  9.60000000000000020E-002  0.16923970823919365       0.47383542454807387       0.41461798771225011       0.34063389493765078       0.28407751644994206     
  9.70000000000000029E-002  0.17381536023684266       0.48286550749919649       0.42181155732346726       0.34631440152765575       0.28872268365706566     
  9.80000000000000038E-002  0.17844205134015639       0.49193953081563624       0.42902662358416099       0.35200800747301719       0.29337714140259524     
  9.90000000000000047E-002  0.18311952177133628       0.50105668309021822       0.43626261455596316       0.35771431046059310       0.29804058403347661     
  0.10000000000000001       0.18784751307387162       0.51021616784584656       0.44351897351634234       0.36343292053271659       0.30271271595214161     
  0.10100000000000001       0.19262576810593643       0.51941720332436392       0.45079515855403601       0.36916345970789438       0.30739325128581846     
  0.10200000000000001       0.19745403103379885       0.52865902221538119       0.45809064217513318       0.37490556161311717       0.31208191360645859     
  0.10300000000000001       0.20233204732524873       0.53794086676300668       0.46540491091964409       0.38065887112743391       0.31677843543700673     
  0.10400000000000001       0.20725956374304288       0.54726200235950329       0.47273746498824676       0.38642304407290573       0.32148255804656123     
  0.10500000000000000       0.21223632833837225       0.55662170362045749       0.48008781787895077       0.39219774673358626       0.32619403123174684     
  0.10600000000000000       0.21726209044435243       0.56601925855150192       0.48745549603340033       0.39798265552162954       0.33091261303585384     
  0.10700000000000000       0.22233660066953850       0.57545396830126894       0.49484003849257358       0.40377745680501143       0.33563806947725355     
  0.10800000000000000       0.22745961089146510       0.58492514691889075       0.50224099657005794       0.40958184660139813       0.34037016906947187     
  0.10900000000000000       0.23263087425021367       0.59443212111596089       0.50965793352304678       0.41539552950144765       0.34510869700760438     
  0.11000000000000000       0.23785014514200867       0.60397423003288309       0.51709042396959604       0.42121821347615557       0.34985344184847078     
  0.11100000000000000       0.24311717921284001       0.61355082500952174       0.52453805243938700       0.42704962740977392       0.35460419910347901     
