t	v	
0.006550	-0.098568	
0.006560	-0.107305	
0.006570	-0.114809	
0.006580	-0.120956	
0.006590	-0.125745	
0.006600	-0.129143	
0.006610	-0.131131	
0.006620	-0.131708	
0.006630	-0.130886	
0.006640	-0.128692	
0.006650	-0.125167	
0.006660	-0.120366	
0.006670	-0.114396	
0.006680	-0.107281	
0.006690	-0.099113	
0.006700	-0.089992	
0.006710	-0.080031	
0.006720	-0.069350	
0.006730	-0.058077	
0.006740	-0.046358	
0.006750	-0.034313	
0.006760	-0.022087	
0.006770	-0.009865	
0.006780	0.002205	
0.006790	0.014045	
0.006800	0.025573	
0.006810	0.036682	
0.006820	0.047259	
0.006830	0.057176	
0.006840	0.066361	
0.006850	0.074731	
0.006860	0.082209	
0.006870	0.088728	
0.006880	0.094233	
0.006890	0.098676	
0.006900	0.102024	
0.006910	0.104253	
0.006920	0.105354	
0.006930	0.105327	
0.006940	0.104185	
0.006950	0.101954	
0.006960	0.098669	
0.006970	0.094378	
0.006980	0.089139	
0.006990	0.083021	
0.007000	0.076101	
0.007010	0.068464	
0.007020	0.060205	
0.007030	0.051434	
0.007040	0.042239	
0.007050	0.032727	
0.007060	0.023010	
0.007070	0.013227	
0.007080	0.003509	
0.007090	-0.006041	
0.007100	-0.015354	
0.007110	-0.024389	
0.007120	-0.033048	
0.007130	-0.041244	
0.007140	-0.048898	
0.007150	-0.055934	
0.007160	-0.062269	
0.007170	-0.067865	
0.007180	-0.072673	
0.007190	-0.076654	
0.007200	-0.079776	
0.007210	-0.082016	
0.007220	-0.083361	
0.007230	-0.083809	
0.007240	-0.083365	
0.007250	-0.082044	
0.007260	-0.079872	
0.007270	-0.076883	
0.007280	-0.073117	
0.007290	-0.068627	
0.007300	-0.063470	
0.007310	-0.057711	
0.007320	-0.051436	
0.007330	-0.044701	
0.007340	-0.037586	
0.007350	-0.030175	
0.007360	-0.022555	
0.007370	-0.014827	
0.007380	-0.007101	
0.007390	0.000537	
0.007400	0.008033	
0.007410	0.015294	
0.007420	0.022300	
0.007430	0.028979	
0.007440	0.035263	
0.007450	0.041092	
0.007460	0.046410	
0.007470	0.051168	
0.007480	0.055323	
0.007490	0.058820	
0.007500	0.061649	
0.007510	0.063791	
0.007520	0.065232	
0.007530	0.065965	
0.007540	0.065991	
0.007550	0.065320	
0.007560	0.063968	
0.007570	0.061957	
0.007580	0.059318	
0.007590	0.056105	
0.007600	0.052341	
0.007610	0.048075	
0.007620	0.043359	
0.007630	0.038248	
0.007640	0.032805	
0.007650	0.027092	
0.007660	0.021180	
0.007670	0.015142	
0.007680	0.009067	
0.007690	0.003024	
0.007700	-0.002924	
0.007710	-0.008718	
0.007720	-0.014310	
0.007730	-0.019677	
0.007740	-0.024765	
0.007750	-0.029523	
0.007760	-0.033906	
0.007770	-0.037873	
0.007780	-0.041388	
0.007790	-0.044419	
0.007800	-0.046940	
0.007810	-0.048933	
0.007820	-0.050382	
0.007830	-0.051280	
0.007840	-0.051624	
0.007850	-0.051418	
0.007860	-0.050673	
0.007870	-0.049401	
0.007880	-0.047625	
0.007890	-0.045370	
0.007900	-0.042666	
0.007910	-0.039547	
0.007920	-0.036054	
0.007930	-0.032228	
0.007940	-0.028116	
0.007950	-0.023767	
0.007960	-0.019234	
0.007970	-0.014574	
0.007980	-0.009854	
0.007990	-0.005130	
0.008000	-0.000450	
0.008010	0.004136	
0.008020	0.008583	
0.008030	0.012847	
0.008040	0.016916	
0.008050	0.020751	
0.008060	0.024315	
0.008070	0.027574	
0.008080	0.030499	
0.008090	0.033062	
0.008100	0.035241	
0.008110	0.037020	
0.008120	0.038384	
0.008130	0.039324	
0.008140	0.039836	
0.008150	0.039921	
0.008160	0.039583	
0.008170	0.038832	
0.008180	0.037681	
0.008190	0.036148	
0.008200	0.034255	
0.008210	0.032025	
0.008220	0.029489	
0.008230	0.026677	
0.008240	0.023625	
0.008250	0.020369	
0.008260	0.016949	
0.008270	0.013409	
0.008280	0.009802	
0.008290	0.006169	
0.008300	0.002546	
0.008310	-0.001027	
0.008320	-0.004515	
0.008330	-0.007882	
0.008340	-0.011098	
0.008350	-0.014136	
0.008360	-0.016984	
0.008370	-0.019612	
0.008380	-0.021998	
0.008390	-0.024118	
0.008400	-0.025955	
0.008410	-0.027493	
0.008420	-0.028720	
0.008430	-0.029627	
0.008440	-0.030210	
0.008450	-0.030465	
0.008460	-0.030396	
0.008470	-0.030007	
0.008480	-0.029306	
0.008490	-0.028306	
0.008500	-0.027022	
0.008510	-0.025471	
0.008520	-0.023673	
0.008530	-0.021652	
0.008540	-0.019433	
0.008550	-0.017043	
0.008560	-0.014514	
0.008570	-0.011880	
0.008580	-0.009177	
0.008590	-0.006434	
0.008600	-0.003682	
0.008610	-0.000949	
0.008620	0.001737	
0.008630	0.004349	
0.008640	0.006861	
0.008650	0.009249	
0.008660	0.011490	
0.008670	0.013567	
0.008680	0.015471	
0.008690	0.017184	
0.008700	0.018692	
0.008710	0.019982	
0.008720	0.021043	
0.008730	0.021867	
0.008740	0.022450	
0.008750	0.022787	
0.008760	0.022880	
0.008770	0.022730	
0.008780	0.022342	
0.008790	0.021725	
0.008800	0.020888	
0.008810	0.019843	
0.008820	0.018605	
0.008830	0.017189	
0.008840	0.015616	
0.008850	0.013903	
0.008860	0.012078	
0.008870	0.010166	
0.008880	0.008186	
0.008890	0.006163	
0.008900	0.004118	
0.008910	0.002072	
0.008920	0.000048	
0.008930	-0.001935	
0.008940	-0.003856	
0.008950	-0.005697	
0.008960	-0.007440	
0.008970	-0.009068	
0.008980	-0.010568	
0.008990	-0.011927	
0.009000	-0.013132	
0.009010	-0.014181	
0.009020	-0.015064	
0.009030	-0.015777	
0.009040	-0.016312	
0.009050	-0.016668	
0.009060	-0.016844	
0.009070	-0.016839	
0.009080	-0.016658	
0.009090	-0.016304	
0.009100	-0.015784	
0.009110	-0.015106	
0.009120	-0.014281	
0.009130	-0.013318	
0.009140	-0.012237	
0.009150	-0.011050	
0.009160	-0.009772	
0.009170	-0.008419	
0.009180	-0.007007	
0.009190	-0.005551	
0.009200	-0.004067	
0.009210	-0.002572	
0.009220	-0.001081	
0.009230	0.000390	
0.009240	0.001826	
0.009250	0.003214	
0.009260	0.004538	
0.009270	0.005788	
0.009280	0.006951	
0.009290	0.008017	
0.009300	0.008977	
0.009310	0.009823	
0.009320	0.010550	
0.009330	0.011150	
0.009340	0.011622	
0.009350	0.011963	
0.009360	0.012171	
0.009370	0.012248	
0.009380	0.012195	
0.009390	0.012017	
0.009400	0.011716	
0.009410	0.011299	
0.009420	0.010773	
0.009430	0.010146	
