t	f	
0.006060	0.017543	
0.006070	0.017638	
0.006080	0.017457	
0.006090	0.017011	
0.006100	0.016315	
0.006110	0.015387	
0.006120	0.014250	
0.006130	0.012927	
0.006140	0.011445	
0.006150	0.009831	
0.006160	0.008115	
0.006170	0.006327	
0.006180	0.004495	
0.006190	0.002648	
0.006200	0.000814	
0.006210	-0.000979	
0.006220	-0.002703	
0.006230	-0.004331	
0.006240	-0.005840	
0.006250	-0.007211	
0.006260	-0.008428	
0.006270	-0.009477	
0.006280	-0.010346	
0.006290	-0.011028	
0.006300	-0.011517	
0.006310	-0.011813	
0.006320	-0.011917	
0.006330	-0.011833	
0.006340	-0.011567	
0.006350	-0.011131	
0.006360	-0.010536	
0.006370	-0.009796	
0.006380	-0.008926	
0.006390	-0.007946	
0.006400	-0.006872	
0.006410	-0.005726	
0.006420	-0.004526	
0.006430	-0.003293	
0.006440	-0.002047	
0.006450	-0.000808	
0.006460	0.000405	
0.006470	0.001574	
0.006480	0.002682	
0.006490	0.003715	
0.006500	0.004657	
0.006510	0.005499	
0.006520	0.006229	
0.006530	0.006840	
0.006540	0.007326	
0.006550	0.007683	
0.006560	0.007910	
0.006570	0.008007	
0.006580	0.007978	
0.006590	0.007825	
0.006600	0.007556	
0.006610	0.007178	
0.006620	0.006701	
0.006630	0.006134	
0.006640	0.005490	
0.006650	0.004781	
0.006660	0.004019	
0.006670	0.003219	
0.006680	0.002394	
0.006690	0.001557	
0.006700	0.000722	
0.006710	-0.000098	
0.006720	-0.000891	
0.006730	-0.001646	
0.006740	-0.002352	
0.006750	-0.003000	
0.006760	-0.003581	
0.006770	-0.004088	
0.006780	-0.004517	
0.006790	-0.004862	
0.006800	-0.005121	
0.006810	-0.005292	
0.006820	-0.005377	
0.006830	-0.005375	
0.006840	-0.005290	
0.006850	-0.005125	
0.006860	-0.004886	
0.006870	-0.004579	
0.006880	-0.004211	
0.006890	-0.003788	
0.006900	-0.003320	
0.006910	-0.002815	
0.006920	-0.002282	
0.006930	-0.001730	
0.006940	-0.001168	
0.006950	-0.000606	
0.006960	-0.000052	
0.006970	0.000486	
0.006980	0.001000	
0.006990	0.001482	
0.007000	0.001926	
0.007010	0.002327	
0.007020	0.002679	
0.007030	0.002979	
0.007040	0.003223	
0.007050	0.003410	
0.007060	0.003538	
0.007070	0.003607	
0.007080	0.003618	
0.007090	0.003573	
0.007100	0.003474	
0.007110	0.003324	
0.007120	0.003127	
0.007130	0.002888	
0.007140	0.002611	
0.007150	0.002302	
0.007160	0.001968	
0.007170	0.001613	
0.007180	0.001244	
0.007190	0.000867	
0.007200	0.000489	
0.007210	0.000115	
0.007220	-0.000250	
0.007230	-0.000599	
0.007240	-0.000928	
0.007250	-0.001233	
0.007260	-0.001509	
0.007270	-0.001753	
0.007280	-0.001962	
0.007290	-0.002135	
